City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,43,2,6,0.2,4,108,84,8
阿克苏地区,500,312,1770,0.7,26,57,28,10
阿拉善盟,56,18,37,0.37,7,116,106,11
阿勒泰地区,54,6,8,0.3,5,104,103,5
阿里地区,26,2,3,0.3,4,81,50,5
安康,66,46,79,0.83,15,125,86,9
安庆,89,66,81,0.45,14,126,86,5
鞍山,61,43,65,1.24,37,84,59,35
安顺,52,22,51,0.5,9,125,100,9
安阳,191,143,171,1.26,29,107,67,13
白城,50,28,35,0.35,8,120,99,11
百色,48,20,47,1.1,12,118,65,11
白山,43,23,33,1.0,17,100,85,8
白银,76,36,99,1.05,23,106,66,76
保定,143,109,169,1.68,44,125,72,33
宝鸡,119,89,150,0.88,34,124,55,12
保山,70,42,87,0.5,8,167,93,9
包头,82,59,112,2.68,68,77,53,104
巴彦淖尔,69,31,85,0.3,13,118,80,5
巴中,54,20,55,0.48,14,108,51,5
北海,46,15,45,0.75,8,117,83,7
北京,163,123,141,1.18,49,90,40,17
蚌埠,104,77,99,0.75,22,139,100,15
本溪,44,23,43,1.32,21,98,58,18
毕节,47,20,46,0.65,9,137,72,9
滨州,104,77,105,0.87,29,105,75,17
博州,24,2,23,0.7,15,53,39,21
亳州,97,72,139,0.65,15,130,84,11
沧州,109,76,166,0.8,40,116,79,32
长春,49,29,40,0.83,17,127,96,12
常德,62,38,72,0.74,16,124,69,10
昌都,37,13,33,1.2,13,93,72,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,54,37,56,0.93,17,76,61,16
长沙,53,30,53,0.53,29,114,65,9
常熟,50,26,49,0.6,28,85,73,23
长治,109,81,133,1.02,12,130,79,10
常州,71,51,68,1.06,41,82,57,17
朝阳,96,71,82,1.38,34,99,68,62
潮州,41,18,31,0.67,6,108,81,8
承德,100,71,149,1.66,51,99,60,45
成都,62,38,72,0.58,23,146,76,11
郴州,49,22,48,0.35,9,105,59,10
赤峰,89,54,126,1.05,20,87,65,13
池州,108,80,106,0.47,11,129,78,10
重庆,46,11,45,0.56,27,114,55,10
崇左,65,32,43,0.55,11,171,93,7
楚雄州,69,49,64,1.0,11,89,60,11
滁州,120,90,113,0.8,30,119,82,10
大连,46,27,45,0.91,25,102,78,15
大理州,75,54,0,0.8,13,142,87,6
丹东,43,11,19,0.48,11,98,85,15
大庆,92,68,78,0.8,28,125,95,45
大同,77,52,102,0.82,13,99,55,11
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,59,13,66,0.4,19,78,61,28
达州,68,37,84,0.62,19,106,63,16
德宏州,68,47,84,0.65,28,158,75,38
德阳,79,43,106,0.55,26,145,73,15
德州,120,90,180,1.33,25,129,52,11
定西,38,16,19,0.4,13,118,63,7
迪庆州,40,3,33,0.45,6,105,78,9
东莞,45,17,33,0.62,17,117,88,7
东营,59,32,65,0.9,26,133,74,34
鄂尔多斯,53,12,54,0.56,12,119,79,8
恩施州,55,21,57,0.55,12,93,47,6
鄂州,74,53,74,0.87,35,90,49,15
防城港,56,15,44,0.53,10,129,105,10
佛山,48,19,47,0.45,16,123,93,6
抚顺,86,63,94,1.5,52,84,89,47
阜新,63,44,60,0.9,23,106,81,28
阜阳,88,64,123,0.57,14,133,82,5
富阳,100,68,148,1.0,10,130,107,11
福州,58,40,61,0.53,15,117,93,5
抚州,57,34,62,0.48,4,121,84,5
甘南州,34,8,15,1.4,14,108,64,2
赣州,48,26,47,1.02,12,114,87,5
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,38,13,26,0.2,5,98,75,17
广安,67,25,82,0.5,14,120,67,13
广元,59,17,66,0.55,16,131,57,17
广州,47,15,40,0.5,18,122,92,8
贵港,50,19,40,0.55,9,136,99,8
桂林,56,22,57,0.4,12,124,105,8
贵阳,58,24,64,0.46,15,130,78,11
果洛州,38,10,26,0.4,14,104,74,30
固原,53,16,54,0.43,9,124,88,7
哈尔滨,57,37,61,0.81,39,129,82,33
海北州,49,7,18,0.4,12,121,96,8
